name,inventory,price,photo_url,description,merchant_id,category
Destiny's Child,3,10.5,http://cdn.playbuzz.com/cdn/e880452f-2f4e-44d5-8b62-5ad9ebcec66a/222b50e6-cb8a-4b3f-8293-b742778c04f9.jpg,A classic album!,1,2
TLC ,10,11,http://www.kiss925.com/wp-content/uploads/sites/59/2015/03/tlc.jpg,A great debate between Destiny's Child and TLC... buy today to decide for yourself,2,2
Hanson,5,11,https://cps-static.rovicorp.com/3/JPG_250/MI0002/296/MI0002296059.jpg?partner=allrovi.com,Three adorable young men,3,2
BLT,10,5.5,http://hagerstownpizzabrothers.com/wp-content/uploads/2015/02/BLT-Sandwich.jpg,Delicious dinner or lunch!,4,3
Neapolitan Ice Cream,3,3,http://www.articlesweb.org/blog/wp-content/uploads/2011/11/neapolitan-ice-cream-origin-and-recipe-sources-4.jpg,Scrumptious! ,1,3
Kangaroo,1,100,http://www.australia.com/etc/designs/tourismaustralia/clientlibs/imgs/fallback/kangaroo_800_600.jpg,A hilarious and cute animal that sort of has three legs!,2,4
Rock Paper Scissors,1,0.5,https://thenypost.files.wordpress.com/2014/06/rock-paper-4.jpg,A game that has 3 options!,3,5
Movie,3,15,http://popcrush.com/files/2014/09/HocusPocus.jpg,A halloween classic,4,1
Three Little Pigs,5,2,"https://images-na.ssl-images-amazon.com/images/I/51YKtd0IuZL._SX258_BO1,204,203,200_.jpg",A childhood hit,1,6
Powerpuff Girls,3,30,https://img0.etsystatic.com/021/0/6191082/il_570xN.498434840_391z.jpg,A fun costume!,2,1
Beetlejuice,3,12,https://i.pinimg.com/736x/2e/bc/65/2ebc65a661df3da311294af9b4e33ea7--beetlejuice-movie-beetlejuice-costume.jpg,A halloween fun and scary hit!,3,1
